Conc,Control,Comparison,Total,Species
7%,22,1,23,D. subpulchrella
7%,31,18,49,D. subpulchrella
7%,11,22,33,D. subpulchrella
7%,17,2,19,D. subpulchrella
7%,7,7,14,D. subpulchrella
7%,9,3,12,D. subpulchrella
7%,8,2,10,D. subpulchrella
7%,3,7,10,D. subpulchrella
7%,12,11,23,D. subpulchrella
7%,5,2,7,D. subpulchrella
7%,28,3,31,D. subpulchrella
7%,15,4,19,D. subpulchrella
7%,10,6,16,D. subpulchrella
7%,0,11,11,D. subpulchrella
7%,10,1,11,D. subpulchrella
7%,9,1,10,D. subpulchrella
7%,13,28,41,D. biarmipes
7%,32,33,65,D. biarmipes
7%,2,35,37,D. biarmipes
7%,47,47,94,D. biarmipes
7%,1,29,30,D. biarmipes
7%,20,18,38,D. biarmipes
7%,9,7,16,D. biarmipes
7%,6,24,30,D. biarmipes
7%,0,21,21,D. biarmipes
7%,9,8,17,D. biarmipes
7%,46,1,47,D. biarmipes
7%,10,7,17,D. biarmipes
7%,11,10,21,D. biarmipes
7%,13,2,15,D. biarmipes
7%,5,9,14,D. biarmipes
7%,65,15,80,D. melanogaster
7%,63,8,71,D. melanogaster
7%,20,36,56,D. melanogaster
7%,51,0,51,D. melanogaster
7%,67,20,87,D. melanogaster
7%,20,25,45,D. melanogaster
7%,57,4,61,D. melanogaster
7%,79,1,80,D. melanogaster
7%,116,21,137,D. melanogaster
7%,64,11,75,D. melanogaster
7%,7,8,15,D. melanogaster
7%,12,4,16,D. melanogaster
7%,4,17,21,D. melanogaster
7%,25,28,53,D. melanogaster
7%,3,99,102,D. melanogaster
7%,42,30,72,D. melanogaster
7%,77,13,90,D. melanogaster
7%,6,161,167,D. melanogaster
7%,77,15,92,D. melanogaster
7%,16,120,136,D. melanogaster
7%,35,10,45,D. melanogaster
7%,58,53,111,D. melanogaster
7%,0,80,80,D. melanogaster
7%,0,53,53,D. melanogaster
